time,open,high,low,close,Up Marker,Down Marker
2025-02-28T01:30:00Z,22365.1,22365.1,22315.6,22355.6,0,1
2025-02-28T01:45:00Z,22355.6,22357.6,22338.6,22338.6,0,0
2025-02-28T02:00:00Z,22338.6,22357.6,22318.6,22339.6,0,0
2025-02-28T02:15:00Z,22339.6,22340.6,22324.6,22340.6,0,0
2025-02-28T02:30:00Z,22340.6,22340.6,22275.6,22280.1,0,1
2025-02-28T02:45:00Z,22280.1,22285.6,22265.6,22266.6,0,0
2025-02-28T03:00:00Z,22266.6,22276.6,22257.6,22267.1,0,0
2025-02-28T03:15:00Z,22267.1,22280.6,22255.1,22272.6,0,0
2025-02-28T03:30:00Z,22272.6,22274.6,22219.6,22237.1,0,0
2025-02-28T03:45:00Z,22237.1,22256.1,22230.1,22251.6,0,0
2025-02-28T04:00:00Z,22251.6,22261.6,22237.1,22248.6,0,0
2025-02-28T04:15:00Z,22248.6,22288.1,22248.6,22288.1,1,0
2025-02-28T04:30:00Z,22288.1,22301.6,22280.1,22290.1,0,0
2025-02-28T04:45:00Z,22290.1,22300.1,22281.6,22282.1,0,0
2025-02-28T05:00:00Z,22282.1,22306.1,22281.1,22300.6,0,0
2025-02-28T05:15:00Z,22300.6,22300.6,22282.1,22285.1,0,1
2025-02-28T05:30:00Z,22285.1,22295.1,22281.1,22295.1,0,0
2025-02-28T05:45:00Z,22295.1,22314.6,22293.1,22300.6,0,0
2025-02-28T06:00:00Z,22300.6,22305.6,22280.6,22301.1,0,0
2025-02-28T06:15:00Z,22301.1,22315.6,22301.1,22303.1,1,0
2025-02-28T06:30:00Z,22303.1,22307.6,22272.6,22282.1,0,0
2025-02-28T06:45:00Z,22282.1,22292.6,22271.1,22280.1,0,0
2025-02-28T07:00:00Z,22280.1,22304.6,22241.6,22265.1,0,0
2025-02-28T07:15:00Z,22265.1,22294.1,22252.1,22281.1,0,0
2025-02-28T07:30:00Z,22281.1,22313.1,22270.1,22308.6,0,0
2025-02-28T07:45:00Z,22308.6,22392.1,22308.1,22372.6,0,0
2025-02-28T08:00:00Z,22372.6,22419.1,22328.6,22342.6,0,0
2025-02-28T08:15:00Z,22342.6,22426.6,22341.6,22417.6,0,0
2025-02-28T08:30:00Z,22417.6,22437.1,22392.6,22393.6,0,0
2025-02-28T08:45:00Z,22393.6,22449.6,22391.6,22439.6,0,0
2025-02-28T09:00:00Z,22439.6,22475.1,22412.1,22463.6,0,0
2025-02-28T09:15:00Z,22463.6,22491.6,22448.6,22469.6,0,0
2025-02-28T09:30:00Z,22469.6,22473.6,22445.1,22459.1,0,0
2025-02-28T09:45:00Z,22459.1,22493.6,22454.6,22475.1,0,0
2025-02-28T10:00:00Z,22475.1,22490.1,22451.6,22452.6,0,0
2025-02-28T10:15:00Z,22452.6,22483.6,22446.6,22457.6,0,0
2025-02-28T10:30:00Z,22457.6,22508.6,22457.6,22498.6,1,0
2025-02-28T10:45:00Z,22498.6,22507.6,22462.6,22475.6,0,0
2025-02-28T11:00:00Z,22475.6,22501.6,22472.6,22473.6,0,0
2025-02-28T11:15:00Z,22473.6,22487.6,22470.6,22486.6,0,0
2025-02-28T11:30:00Z,22486.6,22489.1,22465.1,22471.6,0,0
2025-02-28T11:45:00Z,22471.6,22483.1,22461.6,22481.6,0,0
2025-02-28T12:00:00Z,22481.6,22486.6,22442.6,22451.6,0,0
2025-02-28T12:15:00Z,22451.6,22459.6,22422.1,22427.6,0,0
2025-02-28T12:30:00Z,22427.6,22427.6,22388.1,22407.6,0,1
2025-02-28T12:45:00Z,22407.6,22441.1,22403.1,22438.1,0,0
2025-02-28T13:00:00Z,22438.1,22453.6,22426.6,22430.6,0,0
2025-02-28T13:15:00Z,22430.6,22436.1,22408.6,22417.6,0,0
2025-02-28T13:30:00Z,22417.6,22459.6,22414.6,22425.1,0,0
2025-02-28T13:45:00Z,22425.1,22451.6,22415.6,22444.6,0,0
2025-02-28T14:00:00Z,22444.6,22485.6,22441.6,22462.6,0,0
2025-02-28T14:15:00Z,22462.6,22471.6,22438.6,22448.6,0,0
2025-02-28T14:30:00Z,22448.6,22451.6,22368.6,22430.1,0,0
2025-02-28T14:45:00Z,22430.1,22479.1,22418.6,22478.1,0,0
2025-02-28T15:00:00Z,22478.1,22511.6,22469.6,22510.6,0,0
2025-02-28T15:15:00Z,22510.6,22535.1,22475.1,22532.6,0,0
2025-02-28T15:30:00Z,22532.6,22532.6,22481.6,22491.6,0,1
2025-02-28T15:45:00Z,22491.6,22517.6,22485.6,22512.1,0,0
2025-02-28T16:00:00Z,22512.1,22532.1,22499.6,22500.6,0,0
2025-02-28T16:15:00Z,22500.6,22521.1,22480.6,22492.6,0,0
2025-02-28T16:30:00Z,22492.6,22571.6,22488.1,22566.1,0,0
2025-02-28T16:45:00Z,22566.1,22576.1,22556.6,22563.6,0,0
2025-02-28T17:00:00Z,22563.6,22574.1,22542.1,22554.6,0,0
2025-02-28T17:15:00Z,22554.6,22575.6,22524.6,22546.1,0,0
2025-02-28T17:30:00Z,22546.1,22548.6,22482.6,22488.6,0,0
2025-02-28T17:45:00Z,22488.6,22495.1,22432.1,22436.1,0,0
2025-02-28T18:00:00Z,22436.1,22466.1,22430.1,22456.1,0,0
2025-02-28T18:15:00Z,22456.1,22473.6,22363.1,22430.1,0,0
2025-02-28T18:30:00Z,22430.1,22442.1,22376.1,22385.1,0,0
2025-02-28T18:45:00Z,22385.1,22402.6,22306.6,22308.6,0,0
2025-02-28T19:00:00Z,22308.6,22355.1,22303.1,22335.6,0,0
2025-02-28T19:15:00Z,22335.6,22381.6,22335.1,22366.6,0,0
2025-02-28T19:30:00Z,22366.6,22411.1,22354.6,22407.6,0,0
2025-02-28T19:45:00Z,22407.6,22447.1,22405.6,22436.6,0,0
2025-02-28T20:00:00Z,22436.6,22472.6,22435.6,22460.1,0,0
2025-02-28T20:15:00Z,22460.1,22495.1,22459.6,22491.1,0,0
2025-02-28T20:30:00Z,22491.1,22491.1,22440.1,22472.1,0,1
2025-02-28T20:45:00Z,22472.1,22559.6,22463.1,22555.1,0,0
2025-02-28T21:00:00Z,22555.1,22555.1,22548.6,22548.6,0,1
2025-03-02T23:00:00Z,22548.6,22663.56,22548.6,22660.25,1,0
2025-03-02T23:15:00Z,22660.25,22663.19,22634.48,22643.32,0,0
2025-03-02T23:30:00Z,22643.32,22649,22627.12,22632.91,0,0
2025-03-02T23:45:00Z,22632.91,22642.84,22614.5,22630.17,0,0
2025-03-03T00:00:00Z,22630.17,22634.91,22578.58,22581.53,0,0
2025-03-03T00:15:00Z,22581.53,22676.6,22581.53,22661.1,1,0
2025-03-03T00:30:00Z,22661.1,22661.1,22613.6,22629.1,0,1
2025-03-03T00:45:00Z,22629.1,22644.1,22601.1,22601.1,0,0
2025-03-03T01:00:00Z,22601.1,22625.6,22586.1,22602.1,0,0
2025-03-03T01:15:00Z,22602.1,22606.1,22587.6,22606.1,0,0
2025-03-03T01:30:00Z,22606.1,22611.1,22596.1,22609.6,0,0
2025-03-03T01:45:00Z,22609.6,22630.6,22609.6,22630.1,1,0
2025-03-03T02:00:00Z,22630.1,22643.1,22622.6,22634.6,0,0
2025-03-03T02:15:00Z,22634.6,22647.6,22628.1,22628.1,0,0
2025-03-03T02:30:00Z,22628.1,22645.1,22616.1,22644.1,0,0
2025-03-03T02:45:00Z,22644.1,22649.6,22630.6,22637.1,0,0
2025-03-03T03:00:00Z,22637.1,22639.1,22629.1,22631.6,0,0
2025-03-03T03:15:00Z,22631.6,22638.6,22622.1,22622.1,0,0
2025-03-03T03:30:00Z,22622.1,22630.6,22614.1,22630.1,0,0
2025-03-03T03:45:00Z,22630.1,22639.6,22626.6,22638.6,0,0
2025-03-03T04:00:00Z,22638.6,22652.1,22635.6,22651.1,0,0
2025-03-03T04:15:00Z,22651.1,22654.1,22642.6,22653.1,0,0
2025-03-03T04:30:00Z,22653.1,22653.1,22645.1,22652.6,0,1
2025-03-03T04:45:00Z,22652.6,22657.1,22645.1,22652.6,0,0
2025-03-03T05:00:00Z,22652.6,22662.6,22646.1,22661.1,0,0
2025-03-03T05:15:00Z,22661.1,22686.6,22661.1,22683.6,1,0
2025-03-03T05:30:00Z,22683.6,22688.6,22663.6,22688.1,0,0
2025-03-03T05:45:00Z,22688.1,22688.1,22669.6,22681.1,0,1
2025-03-03T06:00:00Z,22681.1,22681.1,22659.1,22665.1,0,1
2025-03-03T06:15:00Z,22665.1,22713.6,22665.1,22705.6,1,0
2025-03-03T06:30:00Z,22705.6,22722.6,22685.6,22702.1,0,0
2025-03-03T06:45:00Z,22702.1,22708.6,22676.1,22677.1,0,0
2025-03-03T07:00:00Z,22677.1,22695.1,22624.1,22625.6,0,0
2025-03-03T07:15:00Z,22625.6,22634.1,22596.6,22599.1,0,0
